model_type,seed,num_conv_layers,parameter_count,training_time_sec,evaluation_time_sec,test_loss,test_accuracy,f1_macro,precision_macro,recall_macro,roc_auc_ovr,roc_auc_ovo
ECGCNN,42,2,6141,14.849198341369629,0.4360780715942383,0.49072206827410814,0.8147268408551069,0.6021516872714269,0.5386395238184511,0.8618849232368964,0.9645505078739189,0.9761983599820129
ECGCNN,52,2,6141,14.776144981384277,0.40822744369506836,0.4970230979205918,0.8199342225470492,0.6111267638315739,0.5613139037988425,0.8521925225138098,0.9601745231502031,0.9724086817782037
ECGCNN,62,2,6141,14.81148624420166,0.445387601852417,0.3800009514946137,0.8844326694682989,0.6766060159884671,0.6193263668996505,0.8762605031593607,0.9723763765835518,0.9805038320878297
ECGCNN,22,3,6309,18.415021896362305,0.4839324951171875,0.40348095091154973,0.8730586515622145,0.6647265557142614,0.6033397081639487,0.878744178818265,0.9736975170244497,0.9812450159727939
ECGCNN,32,3,6309,18.412549018859863,0.4858875274658203,0.382448880494076,0.8928375662342408,0.6885011175769071,0.6402737847958612,0.8765237007263394,0.9718253821564034,0.9797255761043235
ECGCNN,42,3,6309,18.447339296340942,0.4684114456176758,0.38545191613209506,0.8810524392472135,0.6731562755647762,0.611196209168568,0.8814778300454646,0.9736743001010751,0.982229862445093
ECGCNN,52,3,6309,18.47802448272705,0.4856257438659668,0.35051227058589896,0.8881326511967842,0.6909816477308807,0.6322506481891444,0.8949402203859911,0.9751263102248358,0.9827390455638472
ECGCNN,62,3,6309,18.621447801589966,0.486177921295166,0.38187315944772565,0.8841585967476704,0.6775106847651995,0.6165937887152938,0.8764351184216601,0.9716185888310198,0.9794063156642722
ECGCNN,22,4,6709,22.025824546813965,0.5071597099304199,0.3000869277402432,0.9062671295450393,0.7143658788480203,0.6507758022734415,0.8868985811724437,0.9781144254074865,0.9844002134479188
ECGCNN,32,4,6709,22.16257381439209,0.43117403984069824,0.45004899801999115,0.8429563310798465,0.6327374792866328,0.5785543473243062,0.8705568659219546,0.9709189480594382,0.9792703168161803
ECGCNN,42,4,6709,22.174962043762207,0.41376757621765137,0.34685821585411575,0.8795450392837566,0.6850222853918492,0.6352419522159098,0.8874156255958928,0.9780194167609867,0.9842842393900133
ECGCNN,52,4,6709,22.06314516067505,0.5227963924407959,0.42736030034992817,0.8440526219623606,0.6399368383973749,0.582617108853687,0.8777213851816734,0.9753207607029177,0.9833709564347961
ECGCNN,62,4,6709,22.152555465698242,0.5225059986114502,0.45156018140107174,0.8496254339484743,0.6517651369782835,0.6083948814683952,0.8801118820386801,0.9702124489833256,0.9794911537574673
ECGCNN,22,5,8789,26.175178289413452,0.5674633979797363,0.34115375562088335,0.8824228028503563,0.6843888206476166,0.6335862211144823,0.8906978749184298,0.9777424862213184,0.9845526238094715
ECGCNN,32,5,8789,26.13280153274536,0.5651271343231201,0.23198384750892756,0.9118856203179243,0.7527370304928829,0.6916937758291277,0.8985486928782057,0.9814642529754118,0.985716279655021
ECGCNN,42,5,8789,25.992172718048096,0.5529065132141113,0.3380055338457009,0.8880412936232414,0.6850270822867874,0.6198285891066408,0.8885793720295568,0.9765528669180205,0.9839517890600277
ECGCNN,52,5,8789,26.00165891647339,0.5254580974578857,0.3459731012854698,0.883153663438699,0.6876682873470472,0.6300209004045421,0.8805124507235458,0.9746303093556591,0.9813661829545286
ECGCNN,62,5,8789,26.156275272369385,0.5675296783447266,0.3102272889094196,0.9087794628174676,0.7167276638636803,0.654987348629596,0.8779859382609203,0.9757103972290958,0.9824816581239506
